;"Meditationswochenende für junge Menschen";"Beatenberg";2009-06-19;"beat_brg"
;"3 Tage ""Meditaton und Focusing""";"Beatenberg";2009-06-25;"beat_brg"
;"Vipassana Meditation & Yoga ";"Beatenberg";2009-06-30;"beat_brg"
;"7 Tage Meditationsretreat";"Beatenberg";2009-07-11;"beat_brg"
;"4 Tage Familien Meditationsretreat";"Beatenberg";2009-07-29;"beat_brg"
;"3 Tage Vipassana Retreat";"Beatenberg";2009-08-06;"beat_brg"
;"9 Day Insight Meditation Retreat";"Beatenberg";2009-08-14;"beat_brg"
;"3 Tage Kurs für Frauen und Männer";"Beatenberg";2009-09-03;"beat_brg"
;"7 Tage Meditationsretreat für Frauen";"Beatenberg";2009-09-06;"beat_brg"
;"7 Day Meditation & Dharma Study Retreat";"Beatenberg";2009-09-19;"beat_brg"
;"7 Tage Vipassana und Tonglen oder Wochenende";"Beatenberg";2009-10-02;"beat_brg"
;"7 Tage Retreat ""Ruhe und Einsicht durch Meditation""";"Beatenberg";2009-10-16;"beat_brg"
;"Meditationswochenende für junge Menschen";"Beatenberg";2009-10-30;"beat_brg"
;"1 - 4 Wochen Vipassana Retreat";"Beatenberg";2009-11-02;"beat_brg"
;"1 - 4 Wochen Selbstretreat";"Beatenberg";2009-11-02;"beat_brg"
;"3 Tage Retreat";"Beatenberg";2009-12-10;"beat_brg"
;"Neujahrsretreat Vipassana und Karuna";"Beatenberg";2009-12-26;"beat_brg"
