;"„ZEIT FÜR DICH SELBST“";"Seminarzentrum Riederalp";2009-07-10;"charlie_pils";" "
;"„STILLER GEIST, KLARER GEIST“";"Buddha-Haus Stadtzentrum Stuttgart";2009-07-17;"charlie_pils";" "
;"„DER INNERE WEG IM ALLTAG“";"Buddha-Haus Stadtzentrum München";2009-07-25;"charlie_pils";" "
;"„EINHEIT MIT ALLEM LEBEN“";"Haus der Stille";2009-08-01;"charlie_pils";" "
;"„DIE SUCHE NACH DEM SELBST“";"Buddha-Haus Allgäu";2009-09-03;"charlie_pils";" "
;"„DIE 5 KRÄFTE DES GEISTES“";"Buddha-Haus Allgäu";2009-10-09;"charlie_pils";" "
;"„DER INNERE WEG IM ALLTAG“";"Meditationshaus „Sei Dir Selbst Eine Insel“ Kiel";2009-10-16;"charlie_pils";" "
;"„SCHWARZWALDRETREAT“";"Töpferhof Hensellek, Wolfach";2009-10-24;"charlie_pils";" "
;"„HERBSTRETREAT“";"Meditationszentrum Buddhayana";2009-10-31;"charlie_pils";" "
;"„BEFREIUNG DES HERZENS“";"Haus am Forggensee";2009-11-13;"charlie_pils";" "
;"„STILL INS NEUE JAHR“";"Meditationszentrum Buddhayana";2009-12-30;"charlie_pils";" "
