;"Zen Sesshin mit Paul F. Shepherd (Cho-un)";"Unterdietfurt";14.04.09;"sem_engl";
;"Samatha Vipassana – Intensiver Meditationskurs mit Sayalay Dipankara";"Unterdietfurt";22.04.09;"sem_engl";
;"Vipassana an Himmelfahrt mit Ursula Flückiger und Fred von Allmen, Assistenz: Isis Bianzano";"Unterdietfurt";20.05.09;"sem_engl";
;"Zen Sesshin mit Paul F. Shepherd (Cho-un)";"Unterdietfurt";29.05.09;"sem_engl";
;"Achtsamkeit mit Gefühl – Vipassana Meditation im Schweigen mit Marie Mannschatz und Assistenz";"Unterdietfurt";10.06.09;"sem_engl";
;"Das Mandala Prinzip mit Irmentraud Schlaffer";"Unterdietfurt";03.07.09;"sem_engl";
;"Vipassana und Movement mit Carol Wilson und Frans Möckl";"Unterdietfurt";14.07.09;"sem_engl";" "
;"Einführung in Zen mit Paul F. Shepherd (Cho-un)";"Unterdietfurt";31.07.09;"sem_engl";" "
;"Zen Sesshin mit Paul F. Shepherd (Cho-un)";"Unterdietfurt";02.08.09;"sem_engl";" "
;"Grüne Tara, freie Frau – Meditationskurs für Frauen Sylvia Wetzel und Lily Besilly";"Unterdietfurt";13.08.09;"sem_engl";" "
;"Meditative Ferien – Yoga und Vipassana Meditation mit  Ruth Kölling und Wolfgang Presser";"Unterdietfurt";27.08.09;"sem_engl";" "
;" Einführung in Buddhistische Meditation für junge Erwachsene";"Unterdietfurt";10.09.09;"sem_engl";" "
;"Gastkurs mit Lopon Rinpoch";"Unterdietfurt";16.09.09;"sem_engl";" "
;"Zen Sesshin - Die Kunst des Pinselweges Dokko-An Kuwahara";"Unterdietfurt";30.09.09;"sem_engl";" "
;"Meditationskurs mit Agnes Pollner";"Unterdietfurt";14.10.09;"sem_engl";" "
;"Vipassana mit Renate Seifarth";"Unterdietfurt";30.10.09;"sem_engl";" "
;"Meditationskurs mit Akincano Marc Weber";"Unterdietfurt";11.11.09;"sem_engl";" "
;"Vipassana und Yoga mit Ursula Lyon";"Unterdietfurt";23.11.09;"sem_engl";" "
;"Tibetisches Heilyoga Kum Nye mit Matthias Steurich ";"Unterdietfurt";02.12.09;"sem_engl";" "
;"Zen Sesshin mit Paul Shepherd";"Unterdietfurt";14.12.09;"sem_engl";" "
;"Grüne Tara, freie Frau mit Sylvia Wetzel ";"Unterdietfurt";26.12.09;"sem_engl";" "
